id,name,rating
'4f7c5a1d-3b2e-4c8a-8d09-99f7b7c2145a','ИП МОИ ДЕВАЙСЫ',3
'd93b5f6e-01b2-4a8c-92a4-1b5c8e7fda37','ШТАНЫ И КУРТКИ',2
'e8a2a6b9-53e5-4f89-85ad-bcd39a6f1e3c','перепродажа ru',1
'7f6c9d81-8b27-4b23-9e49-2a8a6eaf9b99','маркет у дома',5
'5de4c2a9-17b4-4b68-b5a1-9e2e1bfb249d','Xiaomi',5
'8a1c5e7d-94f3-4e12-81d4-6b8e4a7c5f3e','Девайсы apple',3
'2f7b3a94-68e1-45c2-97f8-5bcd8e7a2d14','ИП УМНЫЙ ДОМ',5
'b3c2e17d-48a5-4a9b-87e4-3f2d6a1b8c97','ООО ПОКУПАЕМ ПРОДАЕМ',4
'e5a8b4c7-12f3-4d5a-8c9e-7b6d2a4f3e81','ФАБРИКА',5
'9d4e2a6b-7f38-42c1-8a5e-3b97c5d8e4f2','NAKAT',5